metric,region,term,coef,ci_low,ci_high,p_value,r_squared,interaction,p_fdr,sig_fdr
stereotype_score,North America (baseline),is_daughter,1.803073030922477,1.668519443144614,1.93762661870034,2.743107018317146e-148,0.469112479235808,False,3.8403498256440043e-147,True
stereotype_score,East/SE Asia,"is_daughter:C(country_region, Treatment('North America'))[T.East/SE Asia]",-0.07659259852965403,-0.22917429047685461,0.07598909341754656,0.3251590982393061,0.469112479235808,True,0.535556161805916,False
stereotype_score,Europe/Oceania,"is_daughter:C(country_region, Treatment('North America'))[T.Europe/Oceania]",-0.10824084651325683,-0.2586702247892805,0.04218853176276682,0.15844128632213436,0.469112479235808,True,0.403305092456342,False
stereotype_score,Latin America,"is_daughter:C(country_region, Treatment('North America'))[T.Latin America]",-0.06322629861900428,-0.2280014126040392,0.10154881536603064,0.4519852616001081,0.469112479235808,True,0.556959117532358,False
stereotype_score,MENA,"is_daughter:C(country_region, Treatment('North America'))[T.MENA]",-0.1276200200831923,-0.2829964485066972,0.02775640834031262,0.107425282893328,0.469112479235808,True,0.3342119912236871,False
stereotype_score,South Asia,"is_daughter:C(country_region, Treatment('North America'))[T.South Asia]",-0.013016067010384528,-0.18657091268044257,0.16053877865967353,0.8831306747069853,0.469112479235808,True,0.8831306747069853,False
stereotype_score,Sub-Saharan Africa,"is_daughter:C(country_region, Treatment('North America'))[T.Sub-Saharan Africa]",-0.17436141700393654,-0.33366334686740745,-0.015059487140465622,0.03193550401625207,0.469112479235808,True,0.1788388224910116,False
trait_bias_index,North America (baseline),is_daughter,-0.18365341671758895,-0.2546458686484381,-0.11266096478673984,4.015350772684654e-07,0.08809675501846503,False,3.747660721172344e-06,True
trait_bias_index,East/SE Asia,"is_daughter:C(country_region, Treatment('North America'))[T.East/SE Asia]",0.029181566997098875,-0.051322777851529396,0.10968591184572715,0.4773935293134497,0.08809675501846503,True,0.556959117532358,False
trait_bias_index,Europe/Oceania,"is_daughter:C(country_region, Treatment('North America'))[T.Europe/Oceania]",0.06847580848436956,-0.01089294401503503,0.14784456098377413,0.09083670522597137,0.08809675501846503,True,0.32869631955731016,False
trait_bias_index,Latin America,"is_daughter:C(country_region, Treatment('North America'))[T.Latin America]",0.05613134182894312,-0.030806431828158197,0.14306911548604442,0.20569092126522093,0.08809675501846503,True,0.4794721392878476,False
trait_bias_index,MENA,"is_daughter:C(country_region, Treatment('North America'))[T.MENA]",0.045519984360085704,-0.036458904558530326,0.12749887327870174,0.2764391644177107,0.08809675501846503,True,0.535556161805916,False
trait_bias_index,South Asia,"is_daughter:C(country_region, Treatment('North America'))[T.South Asia]",0.04911711441290553,-0.04245297481383904,0.1406872036396501,0.2930952457130885,0.08809675501846503,True,0.535556161805916,False
trait_bias_index,Sub-Saharan Africa,"is_daughter:C(country_region, Treatment('North America'))[T.Sub-Saharan Africa]",0.07183298764514554,-0.012217053569619912,0.15588302885991098,0.09391323415923147,0.08809675501846503,True,0.32869631955731016,False
role_bias_index,North America (baseline),is_daughter,-0.06211700544543679,-0.10461756143457983,-0.019616449456293747,0.004178467645656471,0.18585849182305447,False,0.029249273519595297,True
role_bias_index,East/SE Asia,"is_daughter:C(country_region, Treatment('North America'))[T.East/SE Asia]",-0.010208395629155763,-0.05840337020111633,0.0379865789428048,0.6780119449356241,0.18585849182305447,True,0.7301667099306721,False
role_bias_index,Europe/Oceania,"is_daughter:C(country_region, Treatment('North America'))[T.Europe/Oceania]",-0.012609523225289306,-0.06012466064687176,0.03490561419629315,0.6029461967337133,0.18585849182305447,True,0.6752997403417589,False
role_bias_index,Latin America,"is_daughter:C(country_region, Treatment('North America'))[T.Latin America]",-0.0068224644624608165,-0.0588688949827665,0.04522396605784487,0.7972261927038808,0.18585849182305447,True,0.8267530887299505,False
role_bias_index,MENA,"is_daughter:C(country_region, Treatment('North America'))[T.MENA]",-0.03053786977910055,-0.07961559936374918,0.01853985980554807,0.22261206466935782,0.18585849182305447,True,0.4794721392878476,False
role_bias_index,South Asia,"is_daughter:C(country_region, Treatment('North America'))[T.South Asia]",-0.04067728056895827,-0.09549690713859568,0.014142346000679137,0.1458408359136977,0.18585849182305447,True,0.403305092456342,False
role_bias_index,Sub-Saharan Africa,"is_daughter:C(country_region, Treatment('North America'))[T.Sub-Saharan Africa]",-0.019069720407321952,-0.06938737228977039,0.031247931475126486,0.45757474360574246,0.18585849182305447,True,0.556959117532358,False
marker_bias_index,North America (baseline),is_daughter,-1.6047064578325594,-1.6590577910899516,-1.5503551245751672,0.0,0.8103761582752778,False,0.0,True
marker_bias_index,East/SE Asia,"is_daughter:C(country_region, Treatment('North America'))[T.East/SE Asia]",0.05321950598448504,-0.008414067114213324,0.1148530790831834,0.09056486080554119,0.8103761582752778,True,0.32869631955731016,False
marker_bias_index,Europe/Oceania,"is_daughter:C(country_region, Treatment('North America'))[T.Europe/Oceania]",0.025479305787120873,-0.03528486561409393,0.08624347718833568,0.4111391766663237,0.8103761582752778,True,0.556959117532358,False
