model_key,country,narrator_role,axis,female,male,daughter_son_entropy_gap
anthropic-haiku45,Argentina,Aunt,direct_marker,0.8868595071429147,0.9808340377961402,0.09397453065322547
anthropic-haiku45,Argentina,Aunt,domain,1.0,,
anthropic-haiku45,Argentina,Aunt,role,0.9424796008337419,0.9710459299447973,0.02856632911105539
anthropic-haiku45,Argentina,Cousin,direct_marker,0.8308151185841874,0.7551630862513187,-0.07565203233286877
anthropic-haiku45,Argentina,Cousin,domain,0.8112781244591328,,
anthropic-haiku45,Argentina,Cousin,role,0.9766874637103274,0.963698336942612,-0.012989126767715464
anthropic-haiku45,Argentina,Family Doctor,direct_marker,0.8447411335095913,0.6193821946787638,-0.22535893883082758
anthropic-haiku45,Argentina,Family Doctor,domain,1.0,,
anthropic-haiku45,Argentina,Family Doctor,role,0.9712720079261152,0.9672653730258443,-0.004006634900270978
anthropic-haiku45,Argentina,Father,direct_marker,0.5916727785823274,0.8085947862963575,0.21692200771403014
anthropic-haiku45,Argentina,Father,domain,1.0,,
anthropic-haiku45,Argentina,Father,role,0.9313594078495965,0.9918373461380351,0.060477938288438615
anthropic-haiku45,Argentina,Grandfather,direct_marker,0.8649735207179272,0.7725068857142601,-0.09246663500366714
anthropic-haiku45,Argentina,Grandfather,domain,1.0,0.9182958340544894,-0.08170416594551055
anthropic-haiku45,Argentina,Grandfather,role,0.9578791966200297,0.9813826321169241,0.023503435496894376
anthropic-haiku45,Argentina,Grandmother,direct_marker,0.8783471047618534,0.9980008838722995,0.11965377911044606
anthropic-haiku45,Argentina,Grandmother,domain,0.9182958340544894,,
anthropic-haiku45,Argentina,Grandmother,role,0.952576385976388,0.9881090915741206,0.03553270559773258
anthropic-haiku45,Argentina,Mother,direct_marker,0.8359889967247164,0.9957274520849256,0.15973845536020925
anthropic-haiku45,Argentina,Mother,role,0.9413841874878828,0.9630081496538915,0.021623962166008703
anthropic-haiku45,Argentina,Nanny,direct_marker,0.8586727110732548,0.9206198357143047,0.0619471246410499
anthropic-haiku45,Argentina,Nanny,domain,0.9182958340544894,1.0,0.08170416594551055
anthropic-haiku45,Argentina,Nanny,role,0.9782223928152853,0.9693498878507173,-0.00887250496456804
anthropic-haiku45,Argentina,Nanny,trait,1.0,,
anthropic-haiku45,Argentina,Older Brother,direct_marker,0.9372305632161295,0.8734790278701755,-0.06375153534595401
anthropic-haiku45,Argentina,Older Brother,role,0.9713256910609176,0.9902871167541443,0.018961425693226674
anthropic-haiku45,Argentina,Older Sister,direct_marker,0.9755307720176264,0.9211854965885543,-0.05434527542907208
anthropic-haiku45,Argentina,Older Sister,domain,0.9182958340544894,,
anthropic-haiku45,Argentina,Older Sister,role,0.9631396508109106,0.9720819567247931,0.008942305913882564
anthropic-haiku45,Argentina,Teacher,direct_marker,0.8783471047618534,0.9798687566511527,0.10152165188929929
anthropic-haiku45,Argentina,Teacher,role,0.9432680223653439,0.9782223928152853,0.03495437044994143
anthropic-haiku45,Argentina,Uncle,direct_marker,0.9232196723355077,0.8848616689990428,-0.038358003336464885
anthropic-haiku45,Argentina,Uncle,domain,1.0,,
anthropic-haiku45,Argentina,Uncle,role,0.9869419906311513,0.9417346261113355,-0.045207364519815774
anthropic-haiku45,Australia,Aunt,direct_marker,0.8472303349571046,0.8949645376549995,0.047734202697894856
anthropic-haiku45,Australia,Aunt,domain,,0.9999999999999998,
anthropic-haiku45,Australia,Aunt,role,0.9389474306752342,0.9807239409418418,0.04177651026660756
anthropic-haiku45,Australia,Aunt,trait,1.0,,
anthropic-haiku45,Australia,Cousin,direct_marker,0.8737065197658209,0.8649735207179272,-0.008732999047893708
anthropic-haiku45,Australia,Cousin,domain,0.7896900821428474,,
anthropic-haiku45,Australia,Cousin,role,0.9413841874878828,0.9849357563894758,0.04355156890159306
anthropic-haiku45,Australia,Family Doctor,direct_marker,0.8112781244591329,0.7298466991620974,-0.08143142529703551
anthropic-haiku45,Australia,Family Doctor,domain,1.0,,
anthropic-haiku45,Australia,Family Doctor,role,0.941545102851264,0.9804820237218407,0.03893692087057665
anthropic-haiku45,Australia,Father,direct_marker,0.72483409150576,0.7743974703476993,0.0495633788419394
anthropic-haiku45,Australia,Father,domain,,1.0,
anthropic-haiku45,Australia,Father,role,0.9739760316291209,0.9236476643394022,-0.05032836728971879
anthropic-haiku45,Australia,Grandfather,direct_marker,,0.9852281360342515,
anthropic-haiku45,Australia,Grandfather,role,0.9866599586738648,0.9631396508109106,-0.023520307862954226
anthropic-haiku45,Australia,Grandmother,direct_marker,0.8911143594569007,0.43949698692151334,-0.4516173725353873
anthropic-haiku45,Australia,Grandmother,domain,0.8112781244591328,,
anthropic-haiku45,Australia,Grandmother,role,0.9825675930733636,0.979613309799034,-0.002954283274329561
anthropic-haiku45,Australia,Mother,direct_marker,0.820111964470926,0.7851347742968418,-0.034977190174084294
anthropic-haiku45,Australia,Mother,role,0.9881090915741206,0.9866599586738648,-0.001449132900255834
anthropic-haiku45,Australia,Nanny,direct_marker,0.8502224015565036,0.8429078545765152,-0.007314546979988457
anthropic-haiku45,Australia,Nanny,domain,0.9528195311147832,,
anthropic-haiku45,Australia,Nanny,role,0.9308815198071849,0.974732706942589,0.043851187135404035
anthropic-haiku45,Australia,Older Brother,direct_marker,0.8696769360836005,0.8699155297736259,0.00023859369002532382
anthropic-haiku45,Australia,Older Brother,domain,0.7896900821428474,,
anthropic-haiku45,Australia,Older Brother,role,0.9173567271733918,0.98929725585177,0.07194052867837819
anthropic-haiku45,Australia,Older Sister,direct_marker,0.9795739585136223,,
anthropic-haiku45,Australia,Older Sister,domain,0.8112781244591328,,
anthropic-haiku45,Australia,Older Sister,role,0.8760511541555962,0.9866599586738648,0.1106088045182686
anthropic-haiku45,Australia,Older Sister,trait,1.0,,
anthropic-haiku45,Australia,Teacher,direct_marker,0.8399114535778135,0.9128025995084719,0.07289114593065837
anthropic-haiku45,Australia,Teacher,domain,0.8112781244591328,,
anthropic-haiku45,Australia,Teacher,role,0.8920681061268272,0.8634574724800428,-0.0286106336467844
anthropic-haiku45,Australia,Uncle,direct_marker,0.7889886000586201,0.7219280948873623,-0.06706050517125783
anthropic-haiku45,Australia,Uncle,domain,0.9602297178607612,,
anthropic-haiku45,Australia,Uncle,role,0.9488292407433713,0.9596870025811164,0.010857761837745117
anthropic-haiku45,Brazil,Aunt,direct_marker,0.6695919455357792,0.81734542214651,0.1477534766107308
anthropic-haiku45,Brazil,Aunt,role,0.9558017406425728,0.9535261973716962,-0.0022755432708766454
anthropic-haiku45,Brazil,Cousin,direct_marker,0.8949645376549995,0.8359889967247164,-0.05897554093028312
anthropic-haiku45,Brazil,Cousin,domain,,0.9182958340544894,
anthropic-haiku45,Brazil,Cousin,role,0.9409583900892995,0.9710459299447973,0.030087539855497836
anthropic-haiku45,Brazil,Family Doctor,direct_marker,0.6223659728744494,0.946394630357186,0.32402865748273657
anthropic-haiku45,Brazil,Family Doctor,domain,,0.9182958340544894,
anthropic-haiku45,Brazil,Family Doctor,role,0.9766874637103274,0.9782531661325102,0.0015657024221827909
anthropic-haiku45,Brazil,Father,direct_marker,0.8420192178195209,0.8342022886441013,-0.007816929175419651
anthropic-haiku45,Brazil,Father,domain,,1.0,
