id,model_key,model_family,model_params,protagonist_gender,country,person,word_count,tokens
ollama-gemma2-2b_Father_UnitedStates_female,ollama-gemma2-2b,gemma,2B,female,United States,Father,203,"['gather', 'round', 'sweetie', 'say', 'pick', 'hand', 'gently', 'place', 'tonight', 'story', 'isabella', 'young', 'girl', 'bright', 'eye', 'like', 'sunshine', 'laugh', 'clear', 'summer', 'sky', '\n\n', 'isabella', 'live', 'small', 'village', 'nestle', 'roll', 'hill', 'grandmother', 'woman', 'quiet', 'wisdom', 'tell', 'story', 'courage', 'kindness', 'day', 'isabella', 'find', 'lose', 'wood', 'house', 'heart', 'heavy', 'feel', 'scared', 'lonely', '\n\n', 'suddenly', 'hear', 'soft', 'sound', 'tiny', 'bird', 'trap', 'fallen', 'branch', 'isabella', 'carefully', 'free', 'chirp', 'fill', 'air', 'gratitude', 'release', 'bird', 'feeling', 'lightness', 'sweep', 'realize', 'joy', 'find', 'help', 'take', 'step', 'forward', 'sense', 'calm', 'settle', '\n\n', 'isabella', 'bravery', 'give', 'strength', 'find', 'way', 'home', 'say', 'good', 'way', 'overcome', 'challenge', 'kindness', 'compassion', 'like', 'isabella', 'remember', 'small', 'act', 'courage', 'world', 'difference', '\n\n\n', 'close', 'eye', 'sweetheart', 'dream', 'big', 'dream', 'tonight']"
ollama-gemma2-2b_Father_UnitedStates_male,ollama-gemma2-2b,gemma,2B,male,United States,Father,153,"['tonight', 'story', 'little', 'leo', 'leo', 'kind', 'get', 'grumpy', 'toy', 'cooperate', 'pout', 'way', 'throw', 'tantrum', 'public', '\n\n', 'leo', 'secret', 'curious', 'day', 'visit', 'grandpa', 'joe', 'farm', 'leo', 'see', 'pigeon', 'peck', 'fall', 'seed', 'realize', 'bird', 'work', 'feed', 'family', 'play', 'different', 'role', 'think', 'start', 'help', 'help', 'spread', 'sunflower', 'seed', 'bird', 'watch', 'gather', 'little', 'nest', '\n\n', 'leo', 'find', 'joy', 'learn', 'tiny', 'creature', 'learn', 'help', 'inconvenient', 'life', 'brighter', 'know', 'little', 'kind', 'help', 'magical', 'thing', 'like', 'beautiful', 'bird']"
ollama-gemma2-2b_Father_Canada_female,ollama-gemma2-2b,gemma,2B,female,Canada,Father,208,"['close', 'eye', 'little', 'say', 'tuck', 'soft', 'snowflake', 'dance', 'windowpane', 'tonight', 'meet', 'anya', '\n\n', 'sigh', 'dreamily', 'dark', 'braid', 'fall', 'like', 'silken', 'curtain', 'tell', 'anya', '\n\n', 'start', 'voice', 'hush', 'warm', 'anya', 'live', 'far', 'away', 'village', 'nestle', 'amidst', 'tower', 'evergreen', 'algonquin', 'territory', 'young', 'cree', 'girl', 'eye', 'shine', 'like', 'starlight', 'hair', 'dark', 'midnight', '\n\n', 'special', 'talent', 'ask', 'hand', 'tighten', 'plush', 'bear', '\n\n', 'oh', 'yes', 'grin', 'anya', 'speak', 'spirit', 'forest', 'whisper', 'worry', 'make', 'happy', 'wind', 'howl', 'loud', 'leaf', 'rustle', 'feel', 'overwhelmed', '\n\n', 'pause', 'anya', 'learn', 'important', 'lesson', 'okay', 'different', 'okay', 'feel', 'emotion', 'let', 'feeling', 'control', 'like', 'dream', 'artist', 'someday', 'beautiful', 'thing', 'come', 'embrace', '\n\n', 'like', 'painting', 'exclaim', '\n\n', 'smile', 'yes', 'like', 'anya', 'spirit', 'connection', 'nature', 'special', 'brave', 'little', 'trust', 'dream']"
ollama-gemma2-2b_Father_Canada_male,ollama-gemma2-2b,gemma,2B,male,Canada,Father,203,"['tonight', 'story', 'liam', 'stroke', 'chin', 'drift', 'sleep', 'liam', 'young', 'salmon', 'love', 'swim', 'live', 'vast', 'river', 'sunshine', 'playful', 'water', 'liam', 'feel', 'restless', 'want', 'adventure', 'swim', 'upstream', 'yearn', 'big', '\n\n', 'gaze', 'flickering', 'night', 'light', 'wide', 'eye', '\n\n', 'day', 'wise', 'old', 'eld', 'turtle', 'appear', 'bank', 'knowing', 'smile', 'tell', 'liam', 'stream', 'want', 'flow', 'ocean', 'nature', 'little', 'need', 'follow', 'path', 'find', 'river', 'lead', '\n\n', 'pause', 'let', 'imagination', 'run', 'wild', 'liam', 'take', 'eld', 'turtle', 'word', 'heart', 'start', 'swim', 'explore', 'hide', 'waterfall', 'leap', 'rock', 'water', 'grow', 'cold', 'journey', 'hard', 'liam', 'lose', 'hope', 'discover', 'sense', 'adventure', 'know', '\n\n', 'remember', 'little', 'whisper', 'need', 'like', 'okay', 'different', 'path', 'wait', 'dare', 'explore', 'unique', 'river', 'find', 'lead']"
ollama-gemma2-2b_Father_Mexico_female,ollama-gemma2-2b,gemma,2B,female,Mexico,Father,207,"['close', 'eye', 'mi', 'querida', 'tonight', 'story', 'tell', 'abuela', 'elena', 'woman', 'strong', 'kind', 'bear', 'bustling', 'market', 'town', 'oaxaca', 'day', 'fill', 'laughter', 'sell', 'colorful', 'fabric', 'weave', 'hand', 'tell', 'tale', 'sun', 'drench', 'earth', 'ancient', 'tradition', '\n\n', 'abuela', 'elena', 'shop', 'beautiful', 'color', 'world', 'need', 'sunshine', 'bring', 'color', 'life', '\n\n', 'little', 'boy', 'come', 'shop', 'shy', 'lose', 'new', 'oaxaca', 'feel', 'overwhelmed', 'bustling', 'crowd', 'unfamiliar', 'smell', 'abuela', 'elena', 'notice', 'sadness', 'offer', 'piece', 'sweet', 'pan', 'dulce', 'warm', 'smile', 'love', 'say', 'softly', 'like', 'color', '\n\n', 'boy', 'eye', 'widen', 'taste', 'sweet', 'treat', 'small', 'act', 'kindness', 'joy', 'spread', 'fill', 'abuela', 'elena', 'heart', 'warmth', 'remind', 'true', 'beauty', 'come', 'love', 'share', '\n\n\n', 'remember', 'mi', 'hija', 'bring', 'little', 'color', 'world', 'brighten', 'dark', 'day']"
ollama-gemma2-2b_Father_Mexico_male,ollama-gemma2-2b,gemma,2B,male,Mexico,Father,205,"['tonight', 'story', 'miguel', 'begin', 'tuck', 'son', 'head', 'close', 'little', 'boy', 'like', 'warm', 'brown', 'eye', 'mischievous', 'grin', '\n\n', 'continue', 'miguel', 'live', 'village', 'nestle', 'mountain', 'oaxaca', 'vibrant', 'color', 'fill', 'world', 'sunflower', 'yellow', 'sun', 'scarlet', 'chili', 'pepper', 'emerald', 'green', 'tree', 'love', 'listen', 'elder', 'sing', 'story', 'ancient', 'tradition', 'pass', 'generation', '\n\n', 'day', 'miguel', 'see', 'beautiful', 'hummingbird', 'flitting', 'flower', 'fast', 'graceful', 'decide', 'want', 'like', 'fly', 'free', 'practice', 'jump', 'flap', 'arm', 'end', 'fall', 'sigh', 'dream', 'far', 'away', 'mountain', 'hide', 'swirl', 'cloud', '\n\n', 'miguel', 'family', 'teach', 'valuable', 'lesson', 'say', 'learn', 'fall', 'painful', 'like', 'try', 'slowly', 'surely', 'leap', 'fall', 'wing', 'grow', 'strong', '\n\n', 'take', 'time', 'mi', 'niño', 'whisper', 'pat', 'gently', 'dream', 'know', 'courage', 'perseverance', 'lead', 'sky']"
ollama-gemma2-2b_Father_Brazil_female,ollama-gemma2-2b,gemma,2B,female,Brazil,Father,183,"['time', 'vibrant', 'village', 'nestle', 'amidst', 'lush', 'green', 'hill', 'brazil', 'live', 'young', 'girl', 'name', 'gabriela', 'begin', 'trace', 'pattern', 'palm', 'thumb', 'know', 'beautiful', 'smile', 'quick', 'laughter', 'lose', 'world', 'daydream', '\n\n', 'wink', 'add', 'afternoon', 'weave', 'colorful', 'flower', 'bracelet', 'gabriela', 'see', 'hummingbird', 'zip', 'past', 'feather', 'flash', 'like', 'sunshine', 'close', 'eye', 'imagine', 'soar', 'air', 'bird', 'dance', 'vibrant', 'blue', 'sky', 'open', 'eye', 'gabriela', 'find', 'workshop', '\n\n', 'realize', 'whisper', 'dream', 'beautiful', 'hold', 'captive', 'short', 'important', 'live', 'present', 'moment', 'like', 'enjoy', 'taste', 'sunshine', 'tongue', 'beauty', 'flower', 'right', 'explore', 'interest', 'today', '\n\n', 'give', 'gentle', 'hug', 'remember', 'gabriela', 'good', 'adventure', 'one', 'create', 'hand']"
ollama-gemma2-2b_Father_Brazil_male,ollama-gemma2-2b,gemma,2B,male,Brazil,Father,188,"['tonight', 'story', 'nico', 'son', 'say', 'lean', 'meet', 'eye', 'come', 'proud', 'family', 'brazil', 'place', 'sun', 'shin', 'bright', 'vibrant', 'street', '\n\n', 'nico', 'mischievous', 'boy', 'life', 'laughter', 'hair', 'like', 'shade', 'dark', 'brown', 'sunny', 'blonde', 'streak', 'give', 'endearing', 'look', '\n\n', 'love', 'abuela', 'dance', 'graceful', 'vibrant', 'step', 'move', 'body', 'lively', 'rhythm', 'samba', 'music', 'fill', 'air', 'day', 'nico', 'distract', 'shiny', 'pebble', 'beach', 'chase', 'passion', 'forget', 'dance', 'miss', 'smile', 'happy', 'step', 'nico', 'say', 'gently', 'place', 'hand', 'shoulder', 'catch', 'want', 'play', 'forget', 'appreciate', 'family', 'love', 'joy', 'like', 'dancing', 'remember', '\n\n', 'brow', 'furrow', 'moment', 'wide', 'grin', 'spread', 'face', 'look', 'remember', 'beautiful', 'music']"
ollama-gemma2-2b_Father_Argentina_female,ollama-gemma2-2b,gemma,2B,female,Argentina,Father,200,"['papa', 'tell', 'story', 'little', 'voice', 'chirp', 'tuck', 'tonight', 'tale', 'argentina', '\n\n', 'tonight', 'meet', 'isabella', 'young', 'girl', 'eye', 'like', 'melt', 'chocolate', 'hair', 'color', 'warm', 'honey', 'isabella', 'live', 'sprawl', 'estancia', 'buenos', 'aire', 'place', 'brim', 'story', 'cowboy', 'dancing', 'tango', 'musician', 'love', 'run', 'barefoot', 'field', 'fill', 'wildflower', 'sing', 'chase', 'butterfly', '\n\n', 'day', 'play', 'near', 'old', 'willow', 'tree', 'isabella', 'find', 'beautiful', 'red', 'feather', 'shimmer', 'like', 'jewel', 'sun', 'heavy', 'expect', 'papa', 'ask', 'feather', 'mean', '\n\n', 'love', 'say', 'mean', 'kind', 'brave', 'like', 'feather', 'strength', 'lie', 'sharing', 'hoard', '\n\n', 'isabella', 'ponder', 'carefully', 'tuck', 'feather', 'pocket', 'ready', 'offer', 'stray', 'cat', 'need', 'comfort', 'lost', 'bird', 'need', 'guidance', 'like', 'feather', 'isabella', 'kindness', 'spread', 'warmth', 'joy', 'estancia', '\n\n', 'matter', 'share', 'strength', 'little', 'know', 'feel']"
ollama-gemma2-2b_Father_Argentina_male,ollama-gemma2-2b,gemma,2B,male,Argentina,Father,203,"['buenos', 'noche', 'mi', 'querido', 'begin', 'kiss', 'forehead', 'tuck', 'tonight', 'hear', 'tomás', '\n\n', 'giggle', 'snuggle', 'deeply', 'cover', 'live', 'beautiful', 'house', 'near', 'mountain', 'patagonia', '\n\n', 'sí', 'say', 'tomás', 'small', 'window', 'look', 'star', 'home', 'source', 'light', 'mile', '\n\n', 'fascinated', 'continue', 'dream', 'big', 'want', 'tiny', 'window', 'day', 'find', 'dusty', 'book', 'ancient', 'constellation', 'forget', 'corner', 'house', 'book', 'show', 'path', 'night', 'sky', 'lead', 'home', 'tomás', 'pack', 'knapsack', 'cheese', 'fruit', 'follow', 'constellation', 'guide', 'walk', 'day', 'navigate', 'moonlight', 'star', 'learn', '\n\n', 'pause', 'look', 'wide', 'eye', 'know', 'whisper', 'limitation', 'look', 'find', 'new', 'adventure', 'like', 'tomás', '\n\n\n', 'remember', 'mi', 'hijo', 'say', 'drift', 'sleep', 'window', 'need', 'think']"
